order_id,customer_id,order_placement_date,on_time,in_full,otif
FMY531101601,789101,17-05-2025,1,0,0
FMY530101301,789101,17-05-2025,1,0,0
FMY530101503,789101,17-05-2025,1,0,0
FMY531101603,789101,17-05-2025,1,0,0
FMY531201603,789201,17-05-2025,1,0,0
FJUN61201601,789201,17-05-2025,1,0,0
FMY531601402,789601,17-05-2025,1,0,0
FMY530601202,789601,17-05-2025,1,0,0
FJUN61601202,789601,17-05-2025,1,0,0
FMY531401502,789401,17-05-2025,1,0,0
FMY530720502,789720,17-05-2025,1,0,0
FMY531720603,789720,17-05-2025,1,0,0
FJUN61720403,789720,17-05-2025,1,0,0
FMY530220402,789220,17-05-2025,1,0,0
FJUN61220601,789220,17-05-2025,1,0,0
FJUN61520601,789520,17-05-2025,1,0,0
FJUN61501602,789501,17-05-2025,1,0,0
FMY531420501,789420,17-05-2025,1,0,0
FMY531201301,789201,17-05-2025,0,0,0
FJUN61101303,789101,17-05-2025,0,0,0
FJUN61720402,789720,17-05-2025,0,0,0
FMY530420602,789420,17-05-2025,0,0,0
FMY531520503,789520,17-05-2025,0,0,0
FMY530520501,789520,17-05-2025,0,0,0
FMY531520501,789520,17-05-2025,0,0,0
FJUN61520603,789520,17-05-2025,0,0,0
FJUN61301502,789301,17-05-2025,0,1,0
FMY531720403,789720,17-05-2025,0,1,0
FMY530720101,789720,17-05-2025,0,1,0
FMY531320302,789320,17-05-2025,0,1,0
FJUN61520401,789520,17-05-2025,0,1,0
FJUN61101203,789101,17-05-2025,0,1,0
FMY530501202,789501,17-05-2025,0,1,0
FMY530220303,789220,17-05-2025,0,1,0
FMY531220202,789220,17-05-2025,0,1,0
FMY531220401,789220,17-05-2025,0,1,0
FMY530401201,789401,17-05-2025,0,1,0
FJUN61401301,789401,17-05-2025,0,1,0
FMY531420203,789420,17-05-2025,0,1,0
FMY531420102,789420,17-05-2025,0,1,0
FMY530420101,789420,17-05-2025,0,1,0
FJUN61420601,789420,17-05-2025,0,1,0
FMY531320301,789320,17-05-2025,1,1,1
FMY530320602,789320,17-05-2025,1,1,1
FJUN61320501,789320,17-05-2025,1,1,1
FMY530501501,789501,17-05-2025,1,1,1
FMY531501603,789501,17-05-2025,1,1,1
FMY530401503,789401,17-05-2025,1,1,1
FMY531401401,789401,17-05-2025,1,1,1
FJUN61401501,789401,17-05-2025,1,1,1
FJUN61101601,789101,17-05-2025,1,1,1
FMY531301602,789301,17-05-2025,1,1,1
FJUN61301402,789301,17-05-2025,1,1,1
FJUN61301602,789301,17-05-2025,1,1,1
FMY530201602,789201,17-05-2025,1,1,1
FMY530420203,789420,17-05-2025,1,1,1
FMY530420301,789420,17-05-2025,1,1,1